n_neighbors,contamination,threshold,precision,recall,f1,f2,roc_auc,pr_auc,false_negatives,false_positives,true_negatives,true_positives,alert_rate
25,0.03,-0.03332352690599505,0.7330316742081447,0.8780487804878049,0.7990135635018496,0.8446298227320126,0.9550081730976039,0.8012222114354096,45,118,2402,324,0.15299411561093804
25,0.05,0.007989385258951875,0.7330316742081447,0.8780487804878049,0.7990135635018496,0.8446298227320126,0.9550081730976039,0.8012222114354096,45,118,2402,324,0.15299411561093804
25,0.08,0.04622214158191951,0.7330316742081447,0.8780487804878049,0.7990135635018496,0.8446298227320126,0.9550081730976039,0.8012222114354096,45,118,2402,324,0.15299411561093804
25,0.12,0.07123537406319058,0.7330316742081447,0.8780487804878049,0.7990135635018496,0.8446298227320126,0.9550081730976039,0.8012222114354096,45,118,2402,324,0.15299411561093804
25,0.16,0.08827949842698013,0.7330316742081447,0.8780487804878049,0.7990135635018496,0.8446298227320126,0.9550081730976039,0.8012222114354096,45,118,2402,324,0.15299411561093804
25,0.2,0.10063604494780543,0.7330316742081447,0.8780487804878049,0.7990135635018496,0.8446298227320126,0.9550081730976039,0.8012222114354096,45,118,2402,324,0.15299411561093804
35,0.03,-0.0031623876398527706,0.7714987714987716,0.8509485094850948,0.8092783505154639,0.8337758895379713,0.9519561663870606,0.781270567047553,55,93,2427,314,0.1408791969539633
35,0.05,0.04896617451639296,0.7714987714987716,0.8509485094850948,0.8092783505154639,0.8337758895379713,0.9519561663870606,0.781270567047553,55,93,2427,314,0.1408791969539633
35,0.08,0.0835673492380844,0.7714987714987716,0.8509485094850948,0.8092783505154639,0.8337758895379713,0.9519561663870606,0.781270567047553,55,93,2427,314,0.1408791969539633
35,0.12,0.10941094932978879,0.7714987714987716,0.8509485094850948,0.8092783505154639,0.8337758895379713,0.9519561663870606,0.781270567047553,55,93,2427,314,0.1408791969539633
35,0.16,0.12684559810141227,0.7714987714987716,0.8509485094850948,0.8092783505154639,0.8337758895379713,0.9519561663870606,0.781270567047553,55,93,2427,314,0.1408791969539633
35,0.2,0.13830752506257027,0.7714987714987716,0.8509485094850948,0.8092783505154639,0.8337758895379713,0.9519561663870606,0.781270567047553,55,93,2427,314,0.1408791969539633
15,0.03,-0.08078369294938836,0.6043956043956044,0.8943089430894309,0.7213114754098361,0.8160237388724035,0.9455849141824751,0.7798093535061973,39,216,2304,330,0.18899273104880582
15,0.05,-0.032331983937714526,0.6043956043956044,0.8943089430894309,0.7213114754098361,0.8160237388724035,0.9455849141824751,0.7798093535061973,39,216,2304,330,0.18899273104880582
15,0.08,0.008717969203431819,0.6043956043956044,0.8943089430894309,0.7213114754098361,0.8160237388724035,0.9455849141824751,0.7798093535061973,39,216,2304,330,0.18899273104880582
15,0.12,0.042260261430264734,0.6043956043956044,0.8943089430894309,0.7213114754098361,0.8160237388724035,0.9455849141824751,0.7798093535061973,39,216,2304,330,0.18899273104880582
15,0.16,0.062463122455654885,0.6043956043956044,0.8943089430894309,0.7213114754098361,0.8160237388724035,0.9455849141824751,0.7798093535061973,39,216,2304,330,0.18899273104880582
15,0.2,0.07833369173511984,0.6043956043956044,0.8943089430894309,0.7213114754098361,0.8160237388724035,0.9455849141824751,0.7798093535061973,39,216,2304,330,0.18899273104880582
50,0.03,-0.04177531309892624,0.7276995305164319,0.8401084010840109,0.779874213836478,0.814931650893796,0.9528380006022281,0.7536272504196045,59,116,2404,310,0.1474558670820353
50,0.05,0.026183932422054967,0.7276995305164319,0.8401084010840109,0.779874213836478,0.814931650893796,0.9528380006022281,0.7536272504196045,59,116,2404,310,0.1474558670820353
50,0.08,0.06577127876542255,0.7276995305164319,0.8401084010840109,0.779874213836478,0.814931650893796,0.9528380006022281,0.7536272504196045,59,116,2404,310,0.1474558670820353
50,0.12,0.1015691393995819,0.7276995305164319,0.8401084010840109,0.779874213836478,0.814931650893796,0.9528380006022281,0.7536272504196045,59,116,2404,310,0.1474558670820353
50,0.16,0.12267033583182174,0.7276995305164319,0.8401084010840109,0.779874213836478,0.814931650893796,0.9528380006022281,0.7536272504196045,59,116,2404,310,0.1474558670820353
50,0.2,0.13817103436799982,0.7276995305164319,0.8401084010840109,0.779874213836478,0.814931650893796,0.9528380006022281,0.7536272504196045,59,116,2404,310,0.1474558670820353
75,0.03,-0.06534756634156502,0.6890380313199105,0.8346883468834688,0.7549019607843137,0.8008320332813312,0.9514786854217749,0.723670740938879,61,139,2381,308,0.15472481827622014
75,0.05,-2.342605105543072e-05,0.6890380313199105,0.8346883468834688,0.7549019607843137,0.8008320332813312,0.9514786854217749,0.723670740938879,61,139,2381,308,0.15472481827622014
75,0.08,0.052864642153855446,0.6890380313199105,0.8346883468834688,0.7549019607843137,0.8008320332813312,0.9514786854217749,0.723670740938879,61,139,2381,308,0.15472481827622014
75,0.12,0.09092045720737008,0.6890380313199105,0.8346883468834688,0.7549019607843137,0.8008320332813312,0.9514786854217749,0.723670740938879,61,139,2381,308,0.15472481827622014
75,0.16,0.11951388889185144,0.6890380313199105,0.8346883468834688,0.7549019607843137,0.8008320332813312,0.9514786854217749,0.723670740938879,61,139,2381,308,0.15472481827622014
75,0.2,0.14257947814035243,0.6890380313199105,0.8346883468834688,0.7549019607843137,0.8008320332813312,0.9514786854217749,0.723670740938879,61,139,2381,308,0.15472481827622014
